,budget,genres,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,director_name,actor_1_name,actor_2_name,actor_3_name,imdb_id
1,237000000,Action|Adventure|Fantasy|Science Fiction,1,culture clash|future|space colony|society|space travel|futuristic|romance|space|alien|tribe|alien planet|cgi|soldier|battle|mind and soul|3d,en,Avatar 2,"Jake Sully and Ney'tiri have formed a family and are doing everything to stay together. However, they must leave their home and explore the regions of Pandora. When an ancient threat resurfaces, Jake must fight a difficult war against the humans.",150.437577,20th Century Studios,United States of America,2022,0,162,English,Unreleased,Enter the World of Pandora.,Avatar 2,7.2,11800,James Cameron,Sam Worthington, Zoe Saldana,Stephen Lang,tt1630029
2,300000000,Crime|Action|Superhero|Drama|Adventure,2,bat man|Bruce Wayne|superhero|joker|gotham city|thomas wayne|death of parents|dc comics|animal in title|fighter|fighting|villain|action hero,en,The Batman (2022),The Riddler plays a dangerous game of cat and mouse with Batman and Commissioner Gordon in Gotham City.,139.082615,DC Films 6th & Idaho Motion Picture Company,United States of America,2022,0,169,English,Unreleased,It looks like we don't have any Taglines for this title yet.,The Batman (2022),6.9,4500,Matt Reeves,Robert Pattinson,Barry Keoghan,Peter Sarsgaard,tt1877830
3,55000000,Crime|Drama|Thriller,3,Joker|Bat Man|clown|gotham|mental illness|dc comics,en,Joker (2019),"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. Mental illness. Clown. Batman. Dc Comic ",107,Warner Bros,United States of America,2019,1074000000,122,English,Released,Put on a happy face,Joker (2019),7.8,12900,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,tt7286456
4,97000000,Action|Drama|Sci-Fi|Super Hero,4,Marvel Comics|X men|super hero|mutant|wolf|claws,en,Logan (2017),Logan Wolverine cares for an Professor X young mutant Logan's daughter must now protect the girl and battle the dark forces that want to capture her. Mutant. Claws. Wolf. Immortal,117,Twentieth Century Fox,United States of America,2017,614202000,137,English,Released,His time has come,Logan (2017),8.1,700173,James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,tt3315342
5,150000000,Action|Drama|Sci-Fi|Fantasy,53,cyberpunk|future|robot|police detective|technology,en,Blade Runner 2049,Deckard is forced by the police Boss (M. Emmet Walsh) to continue his old job as Replicant Hunter. His assignment: eliminate four escaped Replicants from the colonies who have returned to Earth. Future. police detective. artificial intelligence. Cyberpunk,110,Alcon Entertainment Columbia Picture Sony,United States of America,2017,260500000,163,English,Released,The key to the future is finally unearthed.,Blade Runner 2049,8,518186,Denis Villeneuve,Harrison Ford,Ryan Gosling,Dave Bautista,tt1856101
6,100000000,War|Drama|Action|History,6,world war ii|nazi|1940s|soldier|beach|army|evacuation|military|air attack|survival|england|france,en,Dunkirk,"In May 1940, world war 2, Germany advanced into France on the beaches of Dunkirk troops soldier army military  were evacuated by boat, 330,000 French, British, Belgian and Dutch soldiers were safely evacuated. Survival is victory",117,Warner Bros,United States of America,2017,525000000,106,English,Released,"At the point of crisis, at the point of annihilation, survival is victory. Hope is a weapon. Survival is victory.",Dunkirk,7.8,607063,Christopher Nolan,Tom Hardy,Barry Keoghan,Fionn Whitehead,tt5013056
7,95000000,War|Drama|Action,7,world war ii|nazi|war|nazi germany|panzer|tank,en,1917,"During World War I, two British soldiers, Lance Corporal Blake and Lance Corporal Schofield received an impossible mission across enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades including Blake's own brother.",177,Dreamworks Pictures ,United Kingdom,2020,384900000,119,English,Released,Time is the enemy,1917,8.3,512233,Sam Mendes,George MacKay,Dean-Charles Chapman,Daniel Mays,tt8579674
8,65000000,Action|Thriller,8,drug dealers|one man army|best action|hitman,en,Extraction (2020),Tyler (Chris Hemsworth) protects the child Ovi Mahajan from assassins. I fight all the enemies alone. ,107,Netflix,United States of America,2020,65000000,116,English,Released,"Move fast, stay low",Extraction (2020),6.7,418023,Sam Hargrave,Chris Hemsworth,Rudhraksh Jaiswal,Bryon Lerum,tt8936646
9,15000000,Action|Adventure|Drama,9,monster hunter|warrior queen|violence|magic|sword fighter|supernatural|based on video game|magician,en,The Witcher (Season 1),"Geralt of Rivia is a witcher, a mutant with special powers who kills monsters for money. Cirilla, the Princess of Cintra, one of Nilfgaard's victims. She and Geralt share a destiny. Meanwhile, another figure looms large in Geralt's adventures: Yennefer, a sorceress.",120,Netflix,United States of America,2019,15000000,60,English,Released,The worst monsters are the ones we create,The Witcher (Season 1),8.2,408000,Lauren Schmidt,Henry Cavill,Freya Allan,Anya Chalotra,tt5180504
10,160000000,Action|Adventure|Fantasy,10,ocean|DC comics|super hero|atlantis,en,Aquaman (2018),"Once home to the most advanced civilization on Earth, the city of Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people -- and then the surface world. Standing in his way is Aquaman, Orm's half-human, half-Atlantean brother and true heir to the throne. With help from royal counselor Vulko, Aquaman must retrieve the legendary Trident of Atlan and embrace his destiny as protector of the deep.",120,Warner Bros|DC Entertainment,United States of America,2018,160000000,143,English,Released,Home is calling,Aquaman (2018),6.9,426000,James Wan,Jason Momoa,Amber Heard,Willem Dafoe,tt1477834
